id,realSum
36196,448.8258687846996
36197,1002.1362783178988
36198,1057.0095548735003
36199,152.77074790713996
36200,332.44192153329993
36201,472.7671777895006
36202,8695.475066153203
36203,258.53157828139
36204,531.1953093751002
36205,163.82593785188988
36206,240.33244619070018
36207,468.69949489630045
36208,235.02673831939967
36209,227.9571688502
36210,137.08567404936994
36211,486.2075432035001
36212,226.38008632920003
36213,174.76419369543018
36214,83.78412578955981
36215,134.01261006219022
36216,296.2440006614997
36217,192.05995299317019
36218,339.1282796087001
36219,128.32568674401992
36220,328.4095304151
36221,349.4389804925998
36222,190.48920318759983
36223,404.90148632890015
36224,341.6693359186002
36225,717.4452598797998
36226,295.0740042452003
36227,484.42475551020004
36228,1266.2149854654997
36229,205.83295625360003
36230,225.55866596791986
36231,249.96209550380013
36232,175.94887264692997
36233,199.3782330425998
36234,150.31856247993989
36235,449.6857497829997
36236,147.4842787792401
36237,252.617825571
36238,147.12529119939995
36239,164.94914701670015
36240,318.47414109519997
36241,244.04759330419995
36242,157.9901203308499
36243,251.37002466
36244,189.39418801330027
36245,230.04305627799033
36246,417.28510832850003
36247,239.36397778539995
36248,337.6784380057999
36249,601.5320473126009
36250,299.4604107472999
36251,439.6386864819999
36252,422.37293353209986
36253,558.7112149131001
36254,388.5843363552999
36255,308.9668455424999
36256,144.86049325076996
36257,397.9931050698999
36258,177.84534128945998
36259,290.42205953070027
36260,334.33116618659983
36261,157.2628896008902
36262,144.9365253780399
36263,113.94043062953001
36264,106.35124183460009
36265,701.2377210157999
36266,226.37292718199996
36267,225.3083323292001
36268,291.47200320959945
36269,220.3596847234298
36270,466.57217084289977
36271,233.4208440078002
36272,209.9632301755001
36273,551.5773160572
36274,122.74759943195997
36275,285.3998899975
36276,263.1538213794001
36277,185.94595852050008
36278,157.4116556214499
36279,302.30285728780007
36280,154.07580456005
36281,147.9412614777
36282,117.47831498683995
36283,160.22931245256004
36284,231.4878374899001
36285,305.87250092772996
36286,192.65046321870008
36287,320.40119611009993
36288,223.7933508273699
36289,66.85696553799997
36290,608.0709480261999
36291,300.4866652807999
36292,287.3062477421001
36293,440.72343992900005
36294,147.7182293126899
36295,207.11743261409993
36296,521.9002246299
36297,158.22607728900002
36298,670.3528779069004
36299,134.69215690514
36300,168.9112760084
36301,585.2205180934001
36302,129.02917209761011
36303,329.2914147120998
36304,255.25171095469992
36305,120.00639996178002
36306,119.33738597020003
36307,319.4285418768001
36308,321.3626584723001
36309,251.03204347289991
36310,207.50411608609988
36311,291.35328238579984
36312,150.17294365808002
36313,401.7214970429
36314,202.44629599882018
36315,203.08392532642986
36316,466.90448642939947
36317,162.74439178561
36318,114.5171329152401
36319,147.8066630509602
36320,912.2898757024
36321,352.07620476899996
36322,262.5984468626997
36323,232.54518197360017
36324,220.6877649786001
36325,275.3296841843002
36326,284.16073064825997
36327,261.4368735645
36328,347.9487971098003
36329,135.62497884634004
36330,155.77079036290993
36331,136.62808850050007
36332,389.4398397256997
36333,206.95303295950004
36334,292.0083053194999
36335,209.93126202700006
36336,294.49469706890005
36337,227.51368424749984
36338,256.8466245057003
36339,114.10735053768995
36340,202.31271144810012
36341,220.61539958205995
36342,197.87632310791992
36343,139.03053454044004
36344,214.13993921040012
36345,177.13695843440996
36346,218.0295980954199
36347,202.73698922399996
36348,290.16743928510016
36349,91.88578815794995
36350,216.43280110760017
36351,138.57546038884018
36352,189.15421456097005
36353,263.2235124729001
36354,214.60562757091003
36355,166.62845328839978
36356,303.3620984933
36357,231.76104931329976
36358,598.4502185553001
36359,322.14941937450016
36360,244.86806412429996
36361,620.2619176311001
36362,200.88190642730024
36363,168.9349564208199
36364,339.62482129449944
36365,187.3575334741
36366,288.8859844544
36367,223.4699047747002
36368,294.8622846810996
36369,637.6238512749995
36370,434.63390527390004
36371,296.9899155857
36372,262.92851931010017
36373,216.11807456933997
36374,696.0337090592
36375,135.10745298714
36376,246.29112963469984
36377,288.58813738160995
36378,137.89752387395993
36379,183.7374867431
36380,99.57755674838997
36381,259.6525782875001
36382,230.4382432955301
36383,156.45924046575988
36384,394.39143834069966
36385,138.38536638405992
36386,303.81329686489977
36387,99.26787836978004
36388,162.28182217096003
36389,235.23314120889972
36390,163.57152908259988
36391,587.2416194416002
36392,253.49359957790008
36393,132.37564029846007
36394,323.37578986311
36395,560.0959620443
36396,405.09905535499985
36397,202.4042425299098
36398,99.34847157132998
36399,509.92823826920073
36400,238.7319579013001
36401,141.08662379135015
36402,139.85332375439984
36403,242.53772953650014
36404,189.51927418610023
36405,151.04100425137997
36406,101.59078863684996
36407,167.66527806909997
36408,212.96902559964985
36409,282.6324081033
36410,196.18148812810009
36411,232.62632389009997
36412,216.79709884899995
36413,285.7047663947999
36414,167.3663511086101
36415,400.5540032181997
36416,181.19055264342978
36417,445.9583343163995
36418,180.06590975853
36419,219.34296636230022
36420,103.06578302262004
36421,573.2094243903001
36422,286.00460116350035
36423,232.98446068640007
36424,177.76203473520007
36425,208.94111506779007
36426,113.99315725532
36427,193.2967861197499
36428,178.34268157069997
36429,1455.4157918820006
36430,345.29298760790005
36431,641.7131038671001
36432,467.3488845116003
36433,154.42908164657987
36434,253.86154352300002
36435,405.53460200659987
36436,440.2459293563999
36437,221.16408019210013
36438,239.39801522110008
36439,253.6724564552
36440,519.9981048221999
36441,268.22880739089976
36442,412.0284623880001
36443,174.02424344323
36444,152.35622687170007
36445,202.90898019023993
36446,287.52609034529996
36447,239.11647993766013
36448,176.53522480425997
36449,624.8393647787001
36450,266.25269122969996
36451,152.05029137615
36452,774.158288910199
36453,314.4764514523999
36454,2366.418354057599
36455,125.04352671034005
36456,121.63024237068008
36457,154.4295700640301
36458,456.7554712749996
36459,276.6283826597999
36460,139.87166933254
36461,292.44985135070016
36462,564.4386221387994
36463,157.4158377747501
36464,224.53155365530017
36465,270.9910831164
36466,113.67657884890993
36467,358.82345949589995
36468,148.61869799027002
36469,137.06665412947004
36470,402.8989183993999
36471,522.1268932339001
36472,179.6447105453599
36473,128.90501149028
36474,369.9636020121001
36475,328.1184900081
36476,217.55759029760011
36477,507.4797753499002
36478,192.78610337429978
36479,184.20412268022
36480,219.56452159219992
36481,453.8834936344003
36482,394.0939863362999
36483,179.2589619112002
36484,354.2773057757998
36485,120.72072604197007
36486,399.67446404560013
36487,344.02505645390016
36488,183.00385958660004
36489,414.9895394604999
36490,153.6035481569401
36491,165.74603581299
36492,701.7447092489996
36493,447.16486866899965
36494,237.37229425629965
36495,247.17480276470013
36496,466.0487981416
36497,188.44301125379988
36498,316.18230563690014
36499,1298.9883945624997
36500,124.95368027699008
36501,167.70681743626994
36502,215.01630386140002
36503,254.0053479857
36504,441.58447009499935
36505,180.59091860538007
36506,220.84644877630012
36507,812.0722200898001
36508,380.12277882239994
36509,195.84839683472964
36510,219.05576359124981
36511,380.01983212429997
36512,411.9100864996999
36513,414.5515707322995
36514,272.38569303849994
36515,244.2340421804
36516,229.04878148960003
36517,217.26961337434997
36518,253.74799265529995
36519,193.85668069983
36520,209.56388605139983
36521,199.76553663116994
36522,139.14077349036992
36523,226.76312187014992
36524,726.9701280631001
36525,146.5456003697599
36526,164.04554628524002
36527,187.0780807701999
36528,435.0196657268002
36529,219.17921355360025
36530,315.6225890338996
36531,129.7699168484899
36532,119.14186661790997
